dataset,num_node,Metric,Best Valid,Best Valid Mean,Mean List,Variance List,Test Result
RegularTilling.TRIANGULAR_0.0_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,50.0 ± 0.0,50.0,"[33.33, 50.0, 75.0]","[28.87, 0.0, 25.0]",75.00 ± 25.00
RegularTilling.TRIANGULAR_0.1_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.2_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,100.0 ± 0.0,100.0,"[100.0, 100.0, 0.0]","[0.0, 0.0, 0.0]",0.00 ± 0.00
RegularTilling.TRIANGULAR_0.3_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.4_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,83.33 ± 28.87,83.33,"[58.33, 83.33, 33.33]","[14.43, 28.87, 14.43]",33.33 ± 14.43
RegularTilling.TRIANGULAR_0.5_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,58.33 ± 14.43,58.33,"[75.0, 58.33, 75.0]","[0.0, 14.43, 0.0]",75.00 ± 0.00
RegularTilling.TRIANGULAR_0.6_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.7_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.8_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,66.67 ± 28.87,66.67,"[25.0, 66.67, 41.67]","[25.0, 28.87, 14.43]",41.67 ± 14.43
RegularTilling.TRIANGULAR_0.9_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_1.0_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_True,4000,AUC,100.0 ± 0.0,100.0,"[58.33, 100.0, 8.33]","[14.43, 0.0, 14.43]",8.33 ± 14.43
RegularTilling.TRIANGULAR_0.0_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.1_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[41.67, 50.0, 41.67]","[14.43, 0.0, 14.43]",41.67 ± 14.43
RegularTilling.TRIANGULAR_0.2_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 58.33]","[0.0, 0.0, 14.43]",58.33 ± 14.43
RegularTilling.TRIANGULAR_0.3_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 33.33]","[0.0, 0.0, 28.87]",33.33 ± 28.87
RegularTilling.TRIANGULAR_0.4_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.5_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[41.67, 50.0, 33.33]","[14.43, 0.0, 28.87]",33.33 ± 28.87
RegularTilling.TRIANGULAR_0.6_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,58.33 ± 14.43,58.33,"[33.33, 58.33, 66.67]","[28.87, 14.43, 28.87]",66.67 ± 28.87
RegularTilling.TRIANGULAR_0.7_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
RegularTilling.TRIANGULAR_0.8_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,83.33 ± 14.43,83.33,"[50.0, 83.33, 33.33]","[0.0, 14.43, 14.43]",33.33 ± 14.43
RegularTilling.TRIANGULAR_0.9_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[33.33, 50.0, 41.67]","[28.87, 0.0, 14.43]",41.67 ± 14.43
RegularTilling.TRIANGULAR_1.0_gcn_256_cn0_0.0_0.0_0.0_0_0_512_3_3_False,4000,AUC,50.0 ± 0.0,50.0,"[50.0, 50.0, 50.0]","[0.0, 0.0, 0.0]",50.00 ± 0.00
